Rank,State,County-equivalent,Per capita,Median,Median,Population,Number of
,,,income,household,family,,households
,,,,income,income,,
1488,Arkansas,Sebastian,"$23,222 ","$40,471 ","$50,511 ","126,536","49,294"
1489,Idaho,Bonner,"$23,221 ","$41,414 ","$49,568 ","40,743","17,388"
1490,Nebraska,Scotts Bluff,"$23,220 ","$43,444 ","$53,463 ","36,883","14,690"
1491,Virginia,Wythe,"$23,219 ","$41,275 ","$49,044 ","29,274","11,656"
1492,Arkansas,Lonoke,"$23,218 ","$52,582 ","$60,786 ","69,266","25,052"
1493,North Carolina,Macon,"$23,213 ","$37,892 ","$45,633 ","33,859","15,340"
1494,West Virginia,Nicholas,"$23,209 ","$40,064 ","$48,275 ","26,168","10,657"
1495,Pennsylvania,Fulton,"$23,201 ","$48,461 ","$56,346 ","14,779","5,965"
1496,Illinois,Mason,"$23,199 ","$42,260 ","$56,188 ","14,508","6,310"
1497,South Dakota,Hanson,"$23,197 ","$55,815 ","$64,375 ","3,377","1,037"
1498,Illinois,Bond,"$23,195 ","$48,163 ","$61,238 ","17,665","6,373"
1499,Michigan,Mason,"$23,183 ","$41,136 ","$50,719 ","28,648","12,470"
1500,New York,Cortland,"$23,179 ","$47,151 ","$60,134 ","49,271","18,069"
1501,Texas,Refugio,"$23,174 ","$44,548 ","$48,963 ","7,327","2,818"
1502,Florida,Miami-Dade,"$23,174 ","$43,100 ","$49,138 ","2,549,075","828,031"
1503,Missouri,Callaway,"$23,171 ","$47,964 ","$58,357 ","44,276","16,548"
1504,Arkansas,Garland,"$23,170 ","$39,162 ","$48,388 ","96,547","39,881"
1505,Washington,Pend Oreille,"$23,167 ","$40,567 ","$47,847 ","12,956","5,484"
1506,North Carolina,Alamance,"$23,166 ","$43,043 ","$53,945 ","152,472","60,139"
1507,Montana,Toole,"$23,162 ","$46,972 ","$53,259 ","5,224","1,927"
1508,Nebraska,Boyd,"$23,157 ","$41,279 ","$51,250 ","2,093",938
1509,Florida,Citrus,"$23,148 ","$39,100 ","$48,013 ","140,214","60,319"
1510,Nevada,Mineral,"$23,146 ","$35,017 ","$61,226 ","4,700","2,147"
1511,Texas,Taylor,"$23,141 ","$44,891 ","$56,565 ","132,588","49,304"
1512,Virginia,Portsmouth City,"$23,138 ","$46,166 ","$53,632 ","95,901","36,690"
1513,Arkansas,Craighead,"$23,138 ","$41,393 ","$52,466 ","98,398","37,834"
1514,Kansas,Jewell,"$23,134 ","$39,884 ","$51,957 ","3,061","1,454"
1515,Nebraska,Stanton,"$23,131 ","$51,493 ","$60,886 ","6,148","2,336"
1516,Oregon,Wallowa,"$23,131 ","$41,994 ","$54,513 ","6,924","2,996"
1517,Texas,Wood,"$23,129 ","$43,649 ","$52,446 ","42,089","15,800"
1518,Virginia,Williamsburg City,"$23,127 ","$48,616 ","$64,329 ","14,579","4,391"
1519,New York,Oswego,"$23,126 ","$48,051 ","$59,391 ","121,797","45,325"
1520,South Dakota,Day,"$23,126 ","$39,761 ","$48,450 ","5,669","2,511"
1521,Kentucky,Pendleton,"$23,122 ","$45,480 ","$57,357 ","14,714","5,357"
1522,New York,Seneca,"$23,115 ","$47,618 ","$60,974 ","35,359","13,429"
1523,Utah,Weber,"$23,106 ","$54,974 ","$62,642 ","233,871","79,525"
1524,South Dakota,Brookings,"$23,105 ","$46,896 ","$61,219 ","32,295","11,979"
1525,Kansas,Trego,"$23,095 ","$45,714 ","$56,090 ","2,981","1,232"
1526,Pennsylvania,Snyder,"$23,088 ","$46,513 ","$53,072 ","39,711","14,397"
1527,New York,Jefferson,"$23,078 ","$46,484 ","$55,325 ","118,073","45,011"
1528,Texas,Washington County,"$23,070 ","$44,858 ","$55,675 ","33,863","12,244"
1529,Illinois,Shelby,"$23,069 ","$47,188 ","$56,074 ","22,266","8,991"
1530,South Dakota,Faulk,"$23,069 ","$41,453 ","$54,219 ","2,370",930
1531,Kansas,Rice,"$23,068 ","$45,336 ","$57,196 ","10,055","3,914"
1532,North Carolina,Cumberland,"$23,067 ","$45,231 ","$51,944 ","322,033","121,226"
1533,Texas,Hamilton,"$23,067 ","$40,655 ","$48,894 ","8,410","3,029"
1534,Indiana,Fountain,"$23,063 ","$45,884 ","$54,191 ","17,108","6,925"
1535,Ohio,Wayne,"$23,061 ","$49,135 ","$60,737 ","114,750","42,487"
1536,Tennessee,Tipton,"$23,054 ","$52,423 ","$59,729 ","61,298","21,574"
1537,Indiana,Benton,"$23,049 ","$48,711 ","$57,079 ","8,823","3,444"
1538,Missouri,St. Louis City,"$23,048 ","$34,582 ","$43,627 ","318,955","140,652"
1539,Arkansas,Arkansas County,"$23,045 ","$39,633 ","$50,137 ","18,957","7,883"
1540,Arkansas,Cleburne,"$23,044 ","$40,246 ","$49,059 ","25,856","10,286"
1541,South Dakota,Gregory,"$23,041 ","$36,719 ","$43,160 ","4,247","1,986"
1542,Oklahoma,Stephens,"$23,038 ","$43,885 ","$57,834 ","44,929","17,690"
1543,Missouri,Camden,"$23,038 ","$43,458 ","$49,942 ","43,822","17,647"
1544,Wisconsin,Taylor,"$23,032 ","$44,869 ","$56,250 ","20,633","8,761"
1545,Indiana,Monroe,"$23,032 ","$40,052 ","$62,959 ","139,634","53,914"
1546,North Carolina,Pitt,"$23,029 ","$40,718 ","$56,512 ","170,485","66,026"
1547,South Carolina,Calhoun,"$23,023 ","$40,704 ","$49,517 ","15,109","6,163"
1548,Michigan,Roscommon,"$23,023 ","$33,334 ","$40,691 ","24,281","11,617"
1549,Montana,Musselshell,"$23,022 ","$43,409 ","$59,112 ","4,729","1,966"
1550,Pennsylvania,Schuylkill,"$23,021 ","$45,012 ","$56,974 ","147,700","59,658"
1551,Iowa,Union,"$23,007 ","$44,838 ","$55,380 ","12,547","5,339"
1552,Louisiana,Iberia,"$22,997 ","$44,262 ","$51,402 ","73,551","26,496"
1553,Pennsylvania,Lycoming,"$22,987 ","$45,430 ","$57,160 ","116,604","46,046"
1554,Kansas,Franklin,"$22,979 ","$49,543 ","$58,750 ","25,870","9,909"
1555,Michigan,Calhoun,"$22,978 ","$42,110 ","$52,857 ","135,534","53,428"
1556,Wisconsin,Langlade,"$22,974 ","$42,389 ","$50,629 ","19,838","8,758"
1557,Kansas,Sumner,"$22,972 ","$47,894 ","$61,676 ","23,884","9,110"
1558,Missouri,Worth,"$22,967 ","$39,348 ","$49,034 ","2,129",940
1559,Missouri,Stoddard,"$22,967 ","$37,965 ","$49,565 ","29,860","12,224"
,West Virginia,,"$22,966 ","$41,043 ","$52,165 ","1,853,619","741,390"
1560,Kentucky,Daviess,"$22,963 ","$46,555 ","$57,866 ","97,230","37,677"
1561,Texas,Upton,"$22,953 ","$51,750 ","$57,391 ","3,323","1,218"
1562,Illinois,Cumberland,"$22,952 ","$43,958 ","$54,423 ","11,015","4,184"
1563,Kansas,Riley,"$22,948 ","$43,962 ","$63,634 ","73,243","25,895"
1564,New York,Lewis,"$22,942 ","$46,840 ","$55,401 ","27,108","10,677"
1565,Kansas,Norton,"$22,942 ","$46,029 ","$63,182 ","5,640","2,248"
1566,Pennsylvania,Indiana County,"$22,933 ","$43,997 ","$56,225 ","88,404","34,310"
1567,Oklahoma,Jackson,"$22,925 ","$42,824 ","$51,599 ","26,280","10,455"
1568,Pennsylvania,Sullivan,"$22,923 ","$40,964 ","$50,855 ","6,419","2,402"
1569,Missouri,Ste. Genevieve,"$22,921 ","$48,433 ","$55,208 ","17,996","7,235"
1570,Texas,Bowie,"$22,911 ","$42,346 ","$53,995 ","92,851","33,808"
1571,Missouri,Cooper,"$22,910 ","$45,992 ","$56,565 ","17,574","6,568"
1572,Pennsylvania,Lawrence,"$22,906 ","$43,546 ","$55,348 ","90,374","36,823"
50%,,,"$22,900 ",,,,
1573,Texas,Wichita,"$22,837 ","$42,971 ","$52,514 ","131,500","49,016"
1574,California,Trinity,"$22,905 ","$36,890 ","$47,349 ","13,638","5,668"
1575,Iowa,Buena Vista,"$22,899 ","$46,951 ","$58,937 ","20,350","7,615"
1576,Colorado,Montrose,"$22,897 ","$45,718 ","$55,848 ","41,020","16,586"
1577,Kentucky,Bourbon,"$22,893 ","$40,933 ","$48,310 ","19,999","7,865"
1578,Minnesota,Mille Lacs,"$22,891 ","$47,862 ","$57,885 ","25,927","10,312"
1579,Montana,Phillips,"$22,890 ","$42,632 ","$54,746 ","4,205","1,800"
1580,Georgia,Monroe,"$22,888 ","$48,630 ","$57,440 ","26,613","9,550"
1581,Wisconsin,Waushara,"$22,888 ","$43,070 ","$52,816 ","24,483","9,902"
1582,North Carolina,Nash,"$22,880 ","$43,084 ","$52,681 ","95,571","37,726"
1583,Colorado,Dolores,"$22,880 ","$37,750 ","$51,875 ","1,709",780
1584,Nevada,Lincoln,"$22,879 ","$40,143 ","$48,816 ","5,296","1,969"
1585,Ohio,Logan,"$22,878 ","$47,542 ","$53,810 ","45,678","18,143"
1586,Texas,Freestone,"$22,876 ","$44,502 ","$54,284 ","19,657","7,251"
1587,Indiana,Vermillion,"$22,875 ","$42,524 ","$50,674 ","16,098","6,466"
1588,Virginia,Waynesboro City,"$22,872 ","$44,847 ","$57,726 ","21,099","8,708"
1589,Montana,Beaverhead,"$22,872 ","$41,614 ","$54,294 ","9,278","4,110"
1590,Montana,Ravalli,"$22,872 ","$38,688 ","$51,272 ","40,423","16,848"
1591,Iowa,Montgomery,"$22,868 ","$44,281 ","$53,586 ","10,625","4,553"
1592,Texas,Scurry,"$22,860 ","$47,513 ","$56,620 ","17,014","5,846"
1593,Texas,Bell,"$22,857 ","$50,060 ","$58,115 ","316,144","104,049"
1594,Georgia,Muscogee,"$22,856 ","$41,339 ","$50,999 ","194,949","72,243"
1595,Texas,Callahan,"$22,855 ","$44,902 ","$57,957 ","13,535","5,201"
1596,Maine,Waldo,"$22,853 ","$42,221 ","$52,614 ","38,819","16,448"
1597,Indiana,LaPorte,"$22,852 ","$47,538 ","$58,674 ","111,310","42,690"
1598,Texas,Collingsworth,"$22,847 ","$41,576 ","$48,250 ","3,061","1,174"
1599,Oregon,Wasco,"$22,844 ","$43,765 ","$53,598 ","25,281","9,612"
1600,Wisconsin,Burnett,"$22,843 ","$39,564 ","$47,404 ","15,449","7,354"
1601,Pennsylvania,Mercer,"$22,831 ","$44,301 ","$55,943 ","116,059","46,187"
1602,Indiana,DeKalb,"$22,827 ","$47,247 ","$56,561 ","42,253","16,032"
1603,Georgia,Walton,"$22,824 ","$52,369 ","$60,249 ","84,397","29,520"
1604,Kansas,Harper,"$22,820 ","$38,313 ","$48,333 ","5,951","2,595"
1605,Indiana,Martin,"$22,817 ","$44,740 ","$55,776 ","10,269","4,146"
1606,West Virginia,Brooke,"$22,815 ","$42,493 ","$55,605 ","23,932","9,968"
1607,Utah,Daggett,"$22,811 ","$46,917 ","$67,898 ",830,305
1608,Ohio,Sandusky,"$22,799 ","$46,140 ","$56,634 ","60,619","23,906"
1609,Nebraska,Logan,"$22,799 ","$44,417 ","$52,813 ",787,345
1610,Montana,Teton,"$22,799 ","$43,327 ","$54,196 ","6,063","2,303"
1611,Washington,Kittitas,"$22,796 ","$42,982 ","$63,929 ","41,291","16,538"
1612,Ohio,Van Wert,"$22,790 ","$45,355 ","$57,364 ","28,685","11,442"
1613,Kansas,Ellsworth,"$22,789 ","$45,865 ","$58,566 ","6,454","2,528"
1614,Michigan,Presque Isle,"$22,788 ","$39,652 ","$46,601 ","13,234","6,253"
1615,Louisiana,Caldwell,"$22,782 ","$39,385 ","$47,327 ","10,083","3,935"
1616,Ohio,Clark,"$22,780 ","$43,136 ","$54,149 ","137,763","54,963"
1617,Wisconsin,Richland,"$22,778 ","$45,271 ","$55,208 ","17,911","7,343"
1618,Tennessee,Maury,"$22,766 ","$45,336 ","$55,558 ","81,821","32,144"
1619,New Mexico,Grant,"$22,755 ","$37,899 ","$45,616 ","29,471","12,216"
1620,Iowa,Crawford,"$22,748 ","$46,548 ","$57,067 ","17,205","6,300"
1621,Pennsylvania,Cameron,"$22,747 ","$41,410 ","$52,800 ","5,000","2,144"
1622,Kentucky,Henderson,"$22,746 ","$41,940 ","$54,654 ","46,303","18,787"
1623,North Carolina,Pasquotank,"$22,745 ","$46,053 ","$55,554 ","40,419","14,399"
1624,Montana,Sweet Grass,"$22,743 ","$45,938 ","$58,462 ","3,640","1,304"
1625,Michigan,Cass,"$22,743 ","$44,346 ","$55,053 ","52,212","19,663"
1626,Ohio,Defiance,"$22,739 ","$47,593 ","$55,802 ","38,911","15,203"
1627,North Carolina,Yadkin,"$22,726 ","$40,371 ","$50,372 ","38,217","14,926"
1628,Michigan,Alcona,"$22,719 ","$37,189 ","$45,424 ","10,785","4,863"
1629,Ohio,Paulding,"$22,714 ","$44,861 ","$58,225 ","19,441","7,730"
1630,Montana,Petroleum,"$22,714 ","$41,705 ","$56,042 ",538,233
1631,Kansas,Doniphan,"$22,713 ","$46,512 ","$57,530 ","7,905","3,161"
1632,Michigan,Shiawassee,"$22,713 ","$46,217 ","$53,971 ","69,910","27,485"
1633,Texas,Fisher,"$22,709 ","$42,125 ","$55,000 ","3,924","1,518"
1634,Virginia,Accomack,"$22,703 ","$39,328 ","$48,708 ","33,289","14,333"
1635,Michigan,Manistee,"$22,702 ","$41,551 ","$49,708 ","24,626","10,571"
1636,Georgia,Camden,"$22,701 ","$51,990 ","$60,101 ","50,799","18,386"
1637,New York,Wyoming County,"$22,700 ","$51,100 ","$62,490 ","41,923","15,624"
1638,Iowa,Wapello,"$22,699 ","$41,425 ","$51,694 ","35,469","14,534"
1639,Virginia,Norton City,"$22,699 ","$39,416 ","$56,290 ","3,998","1,706"
1640,Iowa,Henry,"$22,687 ","$46,376 ","$58,504 ","20,188","7,493"
1641,Kentucky,Hancock,"$22,686 ","$51,189 ","$54,461 ","8,608","3,361"
1642,Alabama,Dale,"$22,685 ","$44,889 ","$56,132 ","50,102","19,345"
1643,Oregon,Union,"$22,684 ","$42,542 ","$51,973 ","25,741","10,235"
1644,Wisconsin,Vernon,"$22,680 ","$45,488 ","$57,070 ","30,002","11,790"
1645,Indiana,Montgomery,"$22,679 ","$46,797 ","$53,218 ","38,215","14,590"
1646,Mississippi,Harrison,"$22,677 ","$43,124 ","$51,941 ","190,756","72,253"
1647,Oklahoma,Harper,"$22,675 ","$46,117 ","$51,087 ","3,710","1,492"
1648,South Dakota,Roberts,"$22,670 ","$47,191 ","$57,684 ","10,210","3,646"
1649,Pennsylvania,Cambria,"$22,659 ","$41,730 ","$54,630 ","142,448","58,208"
1650,North Carolina,Gaston,"$22,658 ","$42,017 ","$51,851 ","207,263","79,450"
1651,Idaho,Bonneville,"$22,657 ","$50,872 ","$58,034 ","105,580","36,066"
1652,Texas,Mills,"$22,651 ","$44,213 ","$51,540 ","4,891","1,817"
1653,Iowa,Lee,"$22,649 ","$42,469 ","$55,274 ","35,736","14,241"
1654,South Carolina,Kershaw,"$22,638 ","$43,765 ","$52,593 ","61,918","24,084"
1655,Alabama,Tuscaloosa,"$22,637 ","$45,408 ","$58,922 ","196,824","67,882"
1656,Missouri,Osage,"$22,629 ","$51,408 ","$61,660 ","13,842","5,168"
1657,Michigan,Mackinac,"$22,622 ","$38,704 ","$47,542 ","11,099","5,000"
1658,Mississippi,Hancock,"$22,621 ","$44,522 ","$53,192 ","44,597","18,145"
1659,Pennsylvania,Tioga,"$22,621 ","$44,187 ","$52,998 ","42,267","17,058"
1660,Kansas,Washington County,"$22,621 ","$42,515 ","$55,034 ","5,763","2,487"
1661,Illinois,Jefferson,"$22,620 ","$42,981 ","$55,188 ","38,769","15,288"
1662,Michigan,Jackson,"$22,613 ","$46,615 ","$57,263 ","160,126","60,100"
1663,Oklahoma,Latimer,"$22,603 ","$40,970 ","$49,894 ","11,034","4,160"
1664,Indiana,Huntington,"$22,601 ","$46,148 ","$57,067 ","37,044","14,138"
1665,Virginia,Surry,"$22,600 ","$47,292 ","$59,331 ","6,922","2,602"
1666,Minnesota,Nobles,"$22,598 ","$48,208 ","$55,102 ","21,490","7,964"
1667,South Dakota,McPherson,"$22,596 ","$37,240 ","$44,650 ","2,432","1,045"
1668,California,San Joaquin,"$22,589 ","$53,380 ","$59,900 ","693,177","215,563"
1669,Louisiana,Vermilion,"$22,589 ","$44,665 ","$54,061 ","58,394","21,765"
1670,Colorado,Logan,"$22,581 ","$40,415 ","$50,000 ","22,607","8,015"
1671,Virginia,Amherst,"$22,580 ","$44,945 ","$56,802 ","32,244","12,680"
,Idaho,,"$22,568 ","$46,767 ","$55,905 ","1,583,364","579,797"
1672,Indiana,Jackson,"$22,568 ","$46,501 ","$56,297 ","42,769","16,713"
1673,Ohio,Trumbull,"$22,568 ","$42,880 ","$53,975 ","208,792","86,246"
1674,Pennsylvania,Potter,"$22,564 ","$41,547 ","$50,755 ","17,487","7,077"
1675,Nebraska,Sheridan,"$22,551 ","$38,548 ","$44,859 ","5,390","2,380"
1676,North Carolina,Davidson,"$22,549 ","$43,083 ","$54,218 ","162,975","64,580"
1677,Wisconsin,Crawford,"$22,549 ","$42,235 ","$57,472 ","16,578","6,772"
1678,Nebraska,Morrill,"$22,543 ","$43,886 ","$50,365 ","4,958","2,037"
1679,West Virginia,Jackson,"$22,527 ","$40,376 ","$53,355 ","29,229","11,459"
1680,Illinois,Wayne,"$22,526 ","$43,605 ","$54,060 ","16,674","7,063"
1681,New Jersey,Cumberland,"$22,524 ","$50,750 ","$60,388 ","157,342","50,676"
1682,Texas,Oldham,"$22,519 ","$48,929 ","$62,500 ","2,064",748
1683,Ohio,Darke,"$22,511 ","$43,425 ","$53,929 ","52,666","20,776"
1684,Louisiana,Beauregard,"$22,509 ","$46,385 ","$59,364 ","35,891","12,948"
1685,Alabama,Mobile,"$22,501 ","$43,028 ","$52,234 ","413,188","155,178"
1686,Wisconsin,Dunn,"$22,499 ","$48,893 ","$62,033 ","43,871","16,222"
1687,Colorado,Yuma,"$22,498 ","$44,308 ","$53,502 ","10,093","3,811"
1688,Oklahoma,Alfalfa,"$22,488 ","$44,811 ","$57,604 ","5,674","2,031"
1689,New Mexico,Lea,"$22,484 ","$50,694 ","$60,006 ","65,681","21,126"
1690,Texas,Upshur,"$22,483 ","$46,600 ","$58,447 ","39,640","14,286"
1691,Colorado,Kiowa,"$22,482 ","$40,813 ","$55,938 ","1,423",559
1692,Louisiana,La Salle,"$22,481 ","$42,528 ","$55,587 ","14,843","5,619"
1693,Pennsylvania,Northumberland,"$22,478 ","$41,208 ","$52,280 ","94,444","39,348"
1694,Michigan,Delta,"$22,471 ","$42,676 ","$53,489 ","36,967","15,885"
1695,Washington,Douglas,"$22,467 ","$51,908 ","$55,665 ","38,807","13,976"
1696,Oregon,Tillamook,"$22,452 ","$43,676 ","$51,235 ","25,300","10,236"
1697,Nebraska,Nuckolls,"$22,448 ","$37,594 ","$52,127 ","4,462","2,119"
1698,Idaho,Teton,"$22,436 ","$53,931 ","$62,389 ","10,141","3,583"
1699,Wisconsin,Florence,"$22,434 ","$47,960 ","$52,846 ","4,477","1,767"
1700,Virginia,Southampton,"$22,433 ","$46,150 ","$58,038 ","18,444","6,708"
1701,South Carolina,Florence,"$22,432 ","$41,910 ","$51,660 ","137,393","51,332"
1702,Pennsylvania,McKean,"$22,426 ","$41,834 ","$51,472 ","43,294","17,450"
1703,Texas,Medina,"$22,413 ","$55,326 ","$61,952 ","46,512","15,284"
1704,Texas,Waller,"$22,412 ","$50,097 ","$59,684 ","43,836","13,601"
1705,North Carolina,Johnston,"$22,410 ","$49,711 ","$58,463 ","172,321","60,759"
1706,Tennessee,Franklin,"$22,398 ","$42,904 ","$48,711 ","40,985","16,067"
1707,Michigan,Lenawee,"$22,395 ","$47,766 ","$59,156 ","99,505","37,754"
1708,Kansas,Labette,"$22,394 ","$40,916 ","$49,907 ","21,369","8,703"
1709,Missouri,Henry,"$22,394 ","$39,839 ","$50,344 ","22,183","9,551"
1710,Minnesota,Todd,"$22,383 ","$45,000 ","$53,847 ","24,697","9,904"
1711,Ohio,Wyandot,"$22,382 ","$44,448 ","$57,009 ","22,582","9,284"
1712,Kentucky,Marshall,"$22,381 ","$43,907 ","$54,460 ","31,296","11,963"
1713,Oklahoma,Pontotoc,"$22,381 ","$41,881 ","$52,738 ","37,700","14,793"
1714,Tennessee,Montgomery,"$22,380 ","$49,617 ","$57,117 ","177,640","64,026"
1715,Michigan,Genesee,"$22,380 ","$42,089 ","$53,072 ","421,575","165,669"
1716,Ohio,Belmont,"$22,380 ","$41,534 ","$52,232 ","69,990","28,329"
1717,Kansas,Morton,"$22,378 ","$46,607 ","$51,250 ","3,182","1,186"
1718,Illinois,Hardin,"$22,366 ","$37,071 ","$46,932 ","4,273","1,800"
1719,Oklahoma,Comanche,"$22,363 ","$46,036 ","$54,389 ","124,591","44,251"
1720,Mississippi,Warren,"$22,362 ","$41,025 ","$54,240 ","48,389","18,404"
1721,Virginia,Page,"$22,355 ","$42,906 ","$49,682 ","23,975","9,623"
1722,Oklahoma,Osage,"$22,353 ","$44,195 ","$55,339 ","47,800","18,512"
1723,Michigan,Saginaw,"$22,349 ","$42,331 ","$54,004 ","198,841","77,412"
1724,Texas,Hunt,"$22,341 ","$44,858 ","$55,101 ","86,455","30,756"
1725,Missouri,Newton,"$22,341 ","$42,268 ","$50,565 ","58,552","22,045"
1726,Washington,Wahkiakum,"$22,334 ","$41,815 ","$48,156 ","4,006","1,715"
1727,Michigan,Menominee,"$22,331 ","$41,739 ","$49,566 ","23,917","10,787"
1728,Oklahoma,Creek,"$22,327 ","$43,026 ","$52,398 ","70,246","26,296"
1729,Ohio,Jefferson,"$22,324 ","$40,577 ","$51,183 ","68,928","28,326"
1730,Idaho,Latah,"$22,322 ","$41,735 ","$60,899 ","37,636","14,941"
1731,Virginia,Bedford City,"$22,322 ","$35,593 ","$44,058 ","6,052","2,800"
1732,Illinois,Fulton,"$22,318 ","$45,130 ","$56,215 ","36,829","14,610"
1733,Colorado,Baca,"$22,318 ","$38,829 ","$48,080 ","3,761","1,651"
1734,West Virginia,Morgan,"$22,312 ","$36,046 ","$51,724 ","17,502","7,343"
1735,Michigan,Wayne,"$22,308 ","$41,184 ","$52,423 ","1,804,507","670,987"
1736,Illinois,Greene,"$22,307 ","$43,502 ","$53,680 ","13,778","5,790"
1737,Vermont,Orleans,"$22,303 ","$41,953 ","$52,235 ","27,184","11,043"
1738,North Carolina,Granville,"$22,295 ","$49,852 ","$54,842 ","58,188","19,953"
1739,Ohio,Allen,"$22,295 ","$42,823 ","$54,846 ","105,895","40,552"
1740,California,Siskiyou,"$22,293 ","$37,709 ","$47,183 ","44,503","19,417"
1741,Kansas,Kearny,"$22,292 ","$52,264 ","$60,735 ","3,956","1,301"
1742,Texas,Crane,"$22,291 ","$50,417 ","$60,625 ","4,484","1,571"
1743,Minnesota,Kanabec,"$22,291 ","$47,068 ","$54,060 ","16,151","6,277"
1744,Kansas,Greenwood,"$22,280 ","$38,346 ","$53,288 ","6,582","2,855"
1745,Illinois,Clay,"$22,279 ","$40,640 ","$52,000 ","13,744","5,486"
1746,Pennsylvania,Philadelphia,"$22,279 ","$37,192 ","$46,375 ","1,536,704","580,017"
1747,Texas,Ward,"$22,278 ","$42,568 ","$52,953 ","10,836","3,938"
1748,Kansas,Marion,"$22,269 ","$45,830 ","$57,375 ","12,491","4,861"
1749,Georgia,Rabun,"$22,260 ","$35,423 ","$50,864 ","16,271","6,997"
1750,Pennsylvania,Union,"$22,259 ","$48,528 ","$55,763 ","44,932","15,062"
1751,Pennsylvania,Bedford,"$22,259 ","$43,290 ","$53,401 ","49,490","20,198"
1752,Ohio,Huron,"$22,257 ","$49,404 ","$56,337 ","59,390","22,361"
1753,Illinois,Cass,"$22,257 ","$45,734 ","$53,871 ","13,530","5,134"
1754,Montana,Pondera,"$22,256 ","$41,277 ","$52,698 ","6,166","2,302"
1755,New York,Orleans,"$22,255 ","$48,502 ","$58,031 ","42,663","15,725"
1756,Utah,Tooele,"$22,252 ","$61,412 ","$66,201 ","59,120","18,281"
1757,Kentucky,Boyle,"$22,249 ","$41,473 ","$49,654 ","28,701","11,100"
1758,South Dakota,Harding,"$22,247 ","$44,353 ","$56,354 ","1,330",527
1759,Indiana,Pike,"$22,245 ","$40,680 ","$50,069 ","12,780","5,149"
1760,Iowa,Keokuk,"$22,243 ","$42,167 ","$54,323 ","10,428","4,354"
1761,Tennessee,Sevier,"$22,242 ","$43,649 ","$50,704 ","91,295","36,815"
1762,Oregon,Coos,"$22,239 ","$37,940 ","$47,830 ","62,753","26,072"
1763,Tennessee,Henry,"$22,239 ","$36,950 ","$48,836 ","32,293","13,473"
1764,Indiana,Greene,"$22,235 ","$43,980 ","$54,728 ","33,001","12,894"
1765,Montana,Rosebud,"$22,229 ","$48,789 ","$60,188 ","9,310","3,268"
1766,Washington,Klickitat,"$22,229 ","$41,694 ","$48,375 ","20,537","8,019"
1767,Louisiana,Sabine,"$22,229 ","$35,159 ","$46,816 ","24,286","9,175"
1768,Ohio,Morrow,"$22,228 ","$51,484 ","$58,660 ","34,932","12,940"
1769,Texas,Haskell,"$22,223 ","$36,857 ","$48,886 ","5,885","2,425"
1770,Washington,Lewis,"$22,212 ","$42,860 ","$53,627 ","75,419","29,527"
1771,Iowa,Davis,"$22,210 ","$45,040 ","$51,772 ","8,755","3,115"
1772,Oklahoma,Kay,"$22,207 ","$41,012 ","$50,266 ","46,122","18,357"
1773,Arizona,La Paz,"$22,200 ","$35,776 ","$42,729 ","20,408","10,221"
1774,New York,St. Lawrence,"$22,198 ","$43,647 ","$53,346 ","112,097","41,839"
1775,Wisconsin,Adams,"$22,196 ","$44,897 ","$51,949 ","20,741","8,278"
1776,Pennsylvania,Somerset,"$22,192 ","$43,597 ","$54,418 ","77,341","29,791"
1777,Georgia,Pike,"$22,191 ","$53,865 ","$61,309 ","17,807","6,140"
1778,Tennessee,Humphreys,"$22,183 ","$42,846 ","$54,492 ","18,392","7,396"
1779,Colorado,Las Animas,"$22,180 ","$42,261 ","$53,089 ","15,136","5,992"
,Arkansas,,"$22,170 ","$40,768 ","$50,759 ","2,933,369","1,129,723"
1780,Indiana,Lawrence,"$22,169 ","$42,627 ","$52,567 ","46,053","18,592"
1781,New York,Chautauqua,"$22,168 ","$42,429 ","$52,854 ","134,156","54,863"
1782,Louisiana,St. Martin,"$22,164 ","$42,186 ","$54,589 ","52,559","18,756"
1783,Arkansas,Boone,"$22,160 ","$38,506 ","$47,585 ","37,099","15,086"
1784,Minnesota,Clearwater,"$22,157 ","$43,269 ","$52,661 ","8,725","3,586"
1785,Georgia,Union,"$22,156 ","$40,009 ","$47,736 ","21,399","9,141"
1786,South Carolina,McCormick,"$22,150 ","$40,028 ","$48,283 ","10,091","4,069"
1787,California,Glenn,"$22,148 ","$43,023 ","$51,705 ","28,054","9,628"
1788,Kansas,Anderson,"$22,139 ","$41,713 ","$54,962 ","8,021","3,308"
1789,Kentucky,Hopkins,"$22,132 ","$40,891 ","$51,596 ","46,810","18,495"
1790,Iowa,Wayne,"$22,127 ","$40,024 ","$52,447 ","6,382","2,589"
1791,Louisiana,Rapides,"$22,126 ","$40,930 ","$51,092 ","132,034","47,606"
1792,Kentucky,Lyon,"$22,123 ","$40,112 ","$55,125 ","8,394","3,294"
1793,Michigan,Huron,"$22,120 ","$40,204 ","$50,996 ","32,751","13,907"
1794,Louisiana,East Feliciana,"$22,099 ","$47,225 ","$54,664 ","20,111","6,991"
1795,New York,Chenango,"$22,097 ","$43,941 ","$54,395 ","50,121","19,829"
1796,Illinois,Knox,"$22,093 ","$40,667 ","$52,496 ","52,545","21,481"
1797,Nebraska,Garfield,"$22,092 ","$41,892 ","$49,904 ","1,947",864
1798,Maine,Franklin,"$22,083 ","$41,626 ","$50,251 ","30,660","12,098"
