Rank,State,County-equivalent,Per capita,Median,Median,Population,Number of
,,,income,household,family,,households
,,,,income,income,,
232,Washington,Kitsap,"$31,769 ","$62,413 ","$74,993 ","252,687","97,622"
233,North Dakota,Mercer,"$31,767 ","$66,534 ","$80,827 ","8,456","3,650"
234,Illinois,Monroe,"$31,758 ","$68,482 ","$81,766 ","33,181","12,506"
235,Virginia,Roanoke County,"$31,728 ","$60,795 ","$75,860 ","92,824","37,928"
236,North Dakota,Barnes,"$31,721 ","$50,274 ","$67,150 ","11,085","4,871"
237,Kansas,Lane,"$31,694 ","$53,021 ","$64,886 ","1,616",808
238,Colorado,Grand,"$31,684 ","$64,664 ","$74,418 ","14,535","5,227"
239,Pennsylvania,Allegheny,"$31,593 ","$51,366 ","$70,380 ","1,226,933","526,004"
240,Alaska,Ketchikan Gateway,"$31,589 ","$62,519 ","$85,638 ","13,595","5,295"
241,Missouri,St. Charles,"$31,586 ","$71,077 ","$83,907 ","365,101","135,974"
242,Texas,Terrell,"$31,578 ","$39,479 ","$68,750 ",837,403
243,New Hampshire,Carroll,"$31,558 ","$50,866 ","$58,867 ","47,694","20,922"
244,Massachusetts,Worcester,"$31,537 ","$65,223 ","$81,519 ","802,688","299,663"
245,Nebraska,Sioux,"$31,517 ","$42,014 ","$56,813 ","1,229",553
246,Colorado,Park,"$31,504 ","$61,570 ","$76,104 ","16,131","7,038"
247,Maryland,Kent,"$31,502 ","$56,259 ","$72,360 ","20,130","7,498"
248,North Dakota,Adams,"$31,502 ","$47,798 ","$65,859 ","2,328","1,101"
249,Georgia,Harris,"$31,482 ","$69,223 ","$82,259 ","32,267","11,426"
250,Michigan,Leelanau,"$31,462 ","$55,018 ","$66,570 ","21,682","9,103"
251,North Dakota,Steele,"$31,455 ","$55,735 ","$67,159 ","1,976",890
252,Montana,Daniels,"$31,449 ","$46,100 ","$60,000 ","1,778",890
253,North Dakota,Stark,"$31,412 ","$62,559 ","$75,333 ","25,666","10,439"
254,Montana,Sheridan,"$31,378 ","$48,667 ","$68,769 ","3,473","1,612"
255,Virginia,Spotsylvania,"$31,360 ","$78,345 ","$87,374 ","124,319","41,709"
